Course Id,Course Title,Average Minutes,Average Rating,Number Of Ratings,Total Minutes Watched
2,Introduction to Tableau,82.5,4.625,40,50405.5
3,"The Complete Data Visualization Course with Python, R, Tableau, and Excel",125.77,4.7059,34,68922
4,Introduction to R Programming,114.32,4.88,25,28008.9
5,Data Preprocessing with NumPy,164.77,4.9032,31,44323.8
7,Introduction to Data and Data Science,39.09,4.8584,572,333265.9
11,Data Cleaning and Preprocessing with pandas,68.87,4.6226,53,25412
12,Introduction to Business Analytics,61.71,4.3571,14,13391.9
13,Data Analysis with Excel Pivot Tables,51.31,4.8444,90,38021
14,SQL,144.6,4.816,125,234824.8
15,Credit Risk Modeling in Python,48.8,4.7059,17,19716.3
16,Python Programmer Bootcamp,136.23,4.8218,101,155164.3
19,SQL + Tableau + Python,37.41,5,7,4938
20,Introduction to Jupyter,36.46,4.9298,57,20050.7
21,Statistics,96.5,4.814,215,193279.6
22,Mathematics,31.07,4.85,60,12521.1
23,Introduction to Excel,67.96,4.7769,242,164472.1
24,Probability,97.53,4.6721,61,42522.2
25,"Starting a Career in Data Science: Project Portfolio, Resume, and Interview Process",43.18,4.8095,21,12175.9
26,SQL + Tableau,20.7,4.8077,26,3498.7
27,Time Series Analysis with Python,68.08,4.6364,11,11573
28,Power BI,59.68,4.5957,47,34077.8
29,Product Management for AI & Data Science,54.04,4.8235,17,8862.6
30,Git and GitHub,28.56,4.9756,41,6539.5
32,Deep Learning with TensorFlow 2,80.82,4.7692,13,15436.7
33,Customer Analytics in Python,60.28,5,11,8137.4
34,Web Scraping and API Fundamentals in Python,51.29,4.5455,11,11026.6
35,Introduction to Python,37.79,4.73,100,25355.5
36,Python for Finance,40.3,4.6,10,3908.8
37,Machine Learning in Python,51.91,4.8095,42,37793.2
39,Advanced Microsoft Excel,52.45,4.86,50,14894.6
41,Convolutional Neural Networks with TensorFlow in Python,73.67,4.75,4,4125.6
42,Data Strategy,73.75,4.7338,154,102887.5
43,Fashion Analytics with Tableau,42.36,4.4545,11,3261.8
44,Dates and Times in Python,37.76,4.875,8,1246.1
45,SQL for Data Science Interviews,14.6,4.75,16,10072.5
46,Data Literacy,129.68,4.7917,72,51092.2
48,AI Applications for Business Success,36.07,4.25,4,1262.3
49,Linear Algebra and Feature Selection,46.86,4.8571,7,3280
50,Machine Learning with Naive Bayes,28.88,4.7059,17,2454.5
51,Machine Learning in Excel,41.07,4.6667,6,2587.6
52,Machine Learning with Support Vector Machines,33.49,4.8182,11,1741.7
53,A/B Testing in Python,29.99,4.75,12,3989.1
54,Machine Learning with Decision Trees and Random Forests,44.21,4.7778,18,2431.4
55,Machine Learning with K-Nearest Neighbors,29.7,4.7333,15,1247.3
56,Machine Learning with Ridge and Lasso Regression,32.62,0,0,652.4
57,Data-Driven Business Growth,17.94,1,1,735.7
